HELLOFRESH_WEEK,Brand,BOX_ID,DU_ID,DELIVERY_REGION,DELIVERY_DATE,DC,Carrier,TRACKING_CODE,WEEKDAY,PACKING_DAY,CUSTOMER_ID,STATE,POSTCODE,TIME_IN_TRANSIT,MESSAGE,CARRIER_CREATE_TIME,local_datetime,Local Date,Responsible Party,OTP Groups,DELIVERED,Error?,COMPLAINT,DETAIL_1,是否看照片
2023-W12,US,US268011728,H2680117280,NJ_AXLE-JFKNY,3/23/2023,NJ,AXLE,SCD0970110406495295,Thursday,Wednesday,19351093,NY,11218,1,SHIPMENT.DROPOFF_FAILED,3/23/2023 5:30:13 下午,3/23/2023 1:30:13 下午,3/23/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US268012197,H2680121970,NW_AXLE-LAXCA,3/23/2023,NW,AXLE,SCD0970110406498133,Thursday,Wednesday,23328978,CA,91765,1,SHIPMENT.RECEIVED_DAMAGED,3/23/2023 1:12:18 上午,3/22/2023 6:12:18 下午,3/22/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US268013284,H2680132840,NJ_AXLE-JFKNY,3/23/2023,NJ,AXLE,SCD0970110406494876,Thursday,Wednesday,39040460,NY,11210,1,SHIPMENT.DROPOFF_FAILED,3/23/2023 9:57:34 下午,3/23/2023 5:57:34 下午,3/23/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US268016897,H2680168970,AZ_AXLE-LAXCA,3/23/2023,AZ,AXLE,SCD0970110406494303,Thursday,Wednesday,26705044,CA,92584,1,SHIPMENT.RECEIVED_OK,3/23/2023 5:51:47 上午,3/22/2023 10:51:47 下午,3/22/2023,FINAL MILE,Undelivered,0,1,no_progress_in_tracking,,是
2023-W12,US,US268017604,H2680176040,NW_AXLE-LAXCA,3/23/2023,NW,AXLE,SCD0970110406496283,Thursday,Wednesday,17415213,CA,92024,1,SHIPMENT.DROPOFF_SUCCEEDED,3/25/2023 8:15:08 下午,3/25/2023 1:15:08 下午,3/25/2023,FINAL MILE,Late +2,1,1,exception,failure,是
2023-W12,US,US268018806,H2680188060,AZ_AXLE-SALCA,3/23/2023,AZ,AXLE,SCD0008698900498239,Thursday,Tuesday,46569950,CA,94901,2,SHIPMENT.PICKUP_READY,3/23/2023 4:20:46 下午,3/23/2023 9:20:46 上午,3/23/2023,FINAL MILE,Undelivered,0,1,"no_progress_in_tracking,no_progress_in_tracking",,是
2023-W12,US,US268020356,H2680203560,NJ_AXLE-JFKNY,3/23/2023,NJ,AXLE,SCD0970110406495381,Thursday,Wednesday,23534731,NY,11565,1,SHIPMENT.DROPOFF_SUCCEEDED,3/24/2023 2:47:15 下午,3/24/2023 10:47:15 上午,3/24/2023,FINAL MILE,Late +1,1,1,marked_as_delivered,,是
2023-W12,US,US268021603,H2680216030,NW_AXLE-LAXCA,3/23/2023,NW,AXLE,SCD0970110406496716,Thursday,Wednesday,48400930,CA,90405,1,SHIPMENT.DROPOFF_FAILED,3/23/2023 10:02:27 下午,3/23/2023 3:02:27 下午,3/23/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
2023-W12,US,US268022872,H2680228720,NW_AXLE-LAXCA,3/23/2023,NW,AXLE,SCD0970110406498567,Thursday,Wednesday,29620572,CA,90056,1,SHIPMENT.PICKUP_READY,3/23/2023 1:40:38 下午,3/23/2023 6:40:38 上午,3/23/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US268023586,H2680235860,NJ_AXLE-EWRNJ,3/23/2023,NJ,AXLE,SCD0970110406495739,Thursday,Wednesday,22735599,NJ,7836,1,SHIPMENT.PICKUP_READY,3/26/2023 9:51:53 上午,3/26/2023 5:51:53 上午,3/26/2023,FINAL MILE,Undelivered,0,1,exception,failure,是
